spread_rank,canonical_id,identifier_type,hyg_id,hip,hd,hr,gl,bf,proper_name,display_type,spectral_type,distance_pc,distance_ly,apparent_magnitude,absolute_magnitude,luminosity_lsol,color_index,constellation_abbr,constellation_name,ra_hours,dec_degrees,x_pc,y_pc,z_pc,nearest_selected_neighbor_pc,nearest_selected_neighbor_ly,source_catalog,source_url
2831,HIP 64367,HIP,64162,64367,114607,,,,,Orange Star,K0,543.4783,1772.587084,8.0,-0.676,162.330453,1.143,Vir,Virgo,13.192495,7.404717,-512.894351,-165.536,70.041985,63.769436,207.987841,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2832,HIP 64884,HIP,64679,64884,115749,,,,,Yellow Giant,G8III,581.3953,1896.255655,8.98,0.158,75.300871,0.921,UMa,Ursa Major,13.300051,58.612295,-285.436275,-101.082351,496.31541,40.822353,133.144553,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2833,HIP 68594,HIP,68375,68594,122563,5270,,,,Yellow-White Subgiant,F8IV,236.9668,772.881436,6.18,-0.693,164.892157,0.853,Boo,Boötes,14.04218,9.686096,-200.991541,-119.020908,39.869669,72.615519,236.839871,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2834,HIP 65250,HIP,65045,65250,116210,,,,,Yellow Star,G5,581.3953,1896.255655,8.56,-0.262,110.866414,0.937,Vir,Virgo,13.371879,-8.699586,-538.036319,-202.000723,-87.938173,51.83671,169.068541,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2835,HIP 64514,HIP,64309,64514,,,,,,Red Star,M0,657.8947,2145.763038,8.64,-0.451,131.947146,1.591,Vir,Virgo,13.223112,8.796352,-617.108751,-204.647065,100.60718,68.936112,224.839265,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2836,HIP 65840,HIP,65634,65840,117349,,,,,Orange Star,K5,571.4286,1863.748665,8.67,-0.115,96.827786,1.268,Vir,Virgo,13.496472,-1.396909,-527.976006,-218.123647,-13.93043,49.657524,161.960994,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2837,HIP 67677,HIP,67463,67677,120577,,,,,Blue-White Giant,B8III,421.9409,1376.185562,9.6,1.474,22.40784,0.085,Cen,Centaurus,13.864782,-58.585498,-194.234452,-103.153324,-360.092339,70.183677,228.908273,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2838,HIP 64576,HIP,64371,64576,114919,,,,,Orange Giant,K3III,740.7407,2415.970237,9.08,-0.268,111.48078,1.378,Cen,Centaurus,13.236335,-34.685387,-577.474824,-193.725031,-421.533183,79.891212,260.569982,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2839,HIP 65162,HIP,64957,65162,,,,,,Orange Giant,K0III,645.1613,2104.23229,8.88,-0.168,101.67168,1.13,CVn,Canes Venatici,13.353172,41.656886,-452.092843,-167.212559,428.818288,57.147718,186.390713,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2840,HIP 65111,HIP,64906,65111,115931,,,,,Yellow Subgiant,G8III/IV,606.0606,1976.703011,8.16,-0.753,174.260919,1.093,Vir,Virgo,13.343451,-18.424689,-539.794712,-198.089952,-191.550231,52.094828,169.910407,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2841,HIP 67763,HIP,67549,67763,120969,,,,,Orange Star,K0,234.192,763.83126,7.68,0.832,40.476225,1.057,Vir,Virgo,13.881602,-10.682595,-202.771601,-108.834702,-43.41173,64.846148,211.499602,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2842,HIP 66986,HIP,66774,66986,119400,,,,,Yellow Giant,G8III,625.0,2038.475,8.54,-0.439,130.496841,0.952,Cen,Centaurus,13.72825,-38.743726,-438.419714,-213.109768,-391.148796,69.501964,226.684825,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2843,HIP 68610,HIP,68391,68610,122412,,,,,Yellow-White Main Sequence,F3V,317.4603,1035.415816,9.75,2.242,11.045872,0.46,Cen,Centaurus,14.045113,-41.832373,-203.438126,-120.68072,-211.73128,76.20742,248.555073,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2844,HIP 66372,HIP,66163,66372,118094,,,,,Blue-White Star,B8Vn...,684.9315,2233.945183,7.94,-1.238,272.395545,0.001,Cen,Centaurus,13.60583,-63.145694,-282.458224,-126.275233,-611.067162,67.627554,220.571327,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2845,HIP 68226,HIP,68008,68226,121639,,,,,Blue-White Giant,B9III,364.9635,1190.350353,8.32,0.509,54.500439,-0.029,Cen,Centaurus,13.966943,-52.661938,-192.651011,-109.015005,-290.171799,70.183677,228.908273,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
